Time (s),SMU 1 V,SMU 1 I,SMU 1 R,SMU 2 V,SMU 2 I,SMU 2 R
16.286749,-5.8198e-05,8.10623e-11,-717941,0.0999684,4.11034e-08,2.43212e+06
16.396795,-5.60284e-05,7.39098e-11,-758065,0.099962,4.15862e-08,2.40373e+06
16.506840,-5.61237e-05,8.46386e-11,-663099,0.0999646,4.19354e-08,2.38377e+06
16.616886,-5.69105e-05,8.10623e-11,-702059,0.099967,4.22943e-08,2.36361e+06
16.726932,5.99974,7.98702e-11,7.51186e+10,0.0999719,2.31367e-07,432092
16.836977,5.99953,7.98702e-11,7.5116e+10,0.0999658,2.19953e-07,454487
16.947022,5.99943,7.27177e-11,8.25031e+10,0.0999608,2.14303e-07,466447
17.057068,5.99943,7.7486e-11,7.7426e+10,0.0999609,2.1053e-07,474807
17.167114,-8.18729e-05,6.67572e-11,-1.22643e+06,0.0999619,3.14236e-08,3.18111e+06
17.277160,-6.4826e-05,9.05991e-11,-715526,0.0999609,3.54433e-08,2.8203e+06
17.387205,-5.58853e-05,8.70228e-11,-642192,0.0999593,3.73638e-08,2.6753e+06
17.497252,-5.64337e-05,8.10623e-11,-696176,0.0999593,3.84986e-08,2.59644e+06
17.607298,-5.61714e-05,8.34465e-11,-673143,0.0999604,3.92342e-08,2.54779e+06
17.717344,-5.47647e-05,8.70228e-11,-629315,0.0999624,3.99482e-08,2.5023e+06
17.827390,-5.58376e-05,7.98702e-11,-699104,0.0999632,4.05848e-08,2.46307e+06
17.937435,-5.54562e-05,8.10623e-11,-684118,0.0999685,4.10151e-08,2.43736e+06
18.047480,-5.38826e-05,7.86781e-11,-684849,0.0999668,4.13835e-08,2.41562e+06
18.157526,-5.25951e-05,7.7486e-11,-678769,0.0999665,4.16362e-08,2.40095e+06
18.267572,5.9998,8.10623e-11,7.40147e+10,0.0999672,2.31317e-07,432165
18.377618,5.9996,8.34465e-11,7.18975e+10,0.0999661,2.19462e-07,455505
18.487663,5.99952,7.98702e-11,7.51159e+10,0.0999653,2.14095e-07,466920
18.597709,5.99949,7.62939e-11,7.86365e+10,0.099966,2.10401e-07,475122
18.707754,-7.87258e-05,6.19888e-11,-1.27e+06,0.0999694,3.10242e-08,3.2223e+06
18.817800,-5.93662e-05,8.22544e-11,-721739,0.0999693,3.50809e-08,2.84968e+06
18.927845,-4.93526e-05,7.98702e-11,-617910,0.0999673,3.68941e-08,2.70958e+06
19.037891,-4.57048e-05,8.10623e-11,-563824,0.0999679,3.79753e-08,2.63245e+06
19.147936,-4.57525e-05,7.98702e-11,-572836,0.0999685,3.87633e-08,2.57895e+06
19.257981,-4.53711e-05,7.86781e-11,-576667,0.0999671,3.9345e-08,2.54078e+06
19.368027,-4.45843e-05,8.82149e-11,-505405,0.0999658,3.99148e-08,2.50448e+06
19.478073,-4.21047e-05,8.58307e-11,-490556,0.0999646,4.03559e-08,2.47707e+06
19.588119,-4.33922e-05,8.70228e-11,-498630,0.099969,4.07112e-08,2.45557e+06
